list_price;standard_cost
12.01;7.21
16.08;
26.15;
32.44;
36.78;
56.21;
60.34;45.26
60.72;
71.16;56.93
71.49;53.62
74.89;
100.35;75.26
101.55;
122.74;
126.36;
149.3;
150.51;
156.56;
162.87;
172.09;
175.89;131.92
183.86;137.90
202.62;151.96
205.84;
226.94;
227.88;136.73
230.91;173.18
235.63;125.07
237.44;
240.72;
290.62;215.14
294.35;
310.57;
311.54;
311.57;
317.3;
326.86;
330.36;
330.91;
356.05;
356.39;
358.39;215.03
360.4;270.30
363.01;290.41
366.22;
398.08;
402.14;
405.94;
416.98;312.74
435.66;
437.51;
441.49;84.99
447.25;
465.71;
470.07;
478.16;298.72
483.12;
487.8;
489.58;
494.96;
495.72;297.43
499.53;388.72
517.53;
533.51;400.13
541.44;
543.39;407.54
544.05;376.84
554.38;
569.56;528.43
571.27;
574.64;459.71
575.27;431.45
586.45;521.94
587.02;
590.26;525.33
605.54;
634.57;
638.29;
639.38;
642.31;513.85
642.7;211.37
643.95;
675.28;
678.25;
687.9;
688.63;612.88
695.23;
710.55;
710.59;
724.37;
731.41;
742.54;667.40
744.54;
748.17;448.90
750.25;
752.36;
752.64;205.36
753.01;
753.76;
756.31;
758.73;
774.53;464.72
792.9;594.68
795.34;101.58
813.6;
814.86;
840.02;
850;
850.89;
867.92;
868.56;
875.99;
877.44;
877.6;
880.3;
883.91;
889.05;
890.28;
899.52;
899.92;
912.52;141.40
918.43;
922.15;
945.04;507.58
958.74;748.90
960.51;
966.91;
980.37;234.43
1021.43;
1023.39;
1024.66;614.80
1026.7;
1029.36;
1034.17;
1036.59;206.35
1057.51;154.40
1061.56;733.58
1061.92;
1065.03;230.09
1071.23;380.74
1073.07;933.84
1084.18;
1091.51;
1095.65;
1095.66;
1098.18;
1099.68;
1102.68;
1107.08;
1129.13;677.48
1142.89;
1146.42;
1148.41;
1148.64;689.18
1150.59;
1151.96;649.49
1163.77;
1163.89;589.27
1172.78;1043.77
1179;707.40
1181.89;
1184;
1192.33;
1193.44;
1196.65;
1198.46;381.10
1199.26;
1202.34;
1216.14;1082.36
1216.4;
1220.66;
1223.24;
1224.41;
1227.34;770.89
1228.07;400.91
1231.15;161.60
1233.12;
1240.31;795.10
1274.93;764.96
1280.28;829.51
1281.6;
1285.47;
1289.85;74.51
1292.13;
1292.84;13.44
1294.37;
1294.66;
1300.96;
1311.44;1167.18
1315.16;
1348.41;
1349.47;
1362.99;57.74
1374.2;
1386.84;1234.29
1392.76;
1401.63;
1403.5;954.82
1409.68;
1413.98;
1415.01;1259.36
1438.9;
1458.17;874.90
1466.68;363.25
1469.44;596.55
1473.09;
1476.88;
1480.76;
1483.2;99.59
1487.8;
1497.43;
1502.93;
1527.25;
1535.84;
1538.99;829.65
1541.1;
1541.62;
1555.58;818.01
1562.88;
1563.94;
1571.83;
1577.53;826.51
1578.52;
1615.62;
1617.32;
1624.69;
1635.3;993.66
1636.9;44.71
1656.86;
1660.68;
1661.92;1479.11
1672.07;
1678.51;
1678.71;
1689.63;
1695.42;
1697.27;
1703.18;
1703.52;1516.13
1709.26;
1711.35;
1719.95;
1720.7;1531.42
1734.3;
1740.16;
1759.3;
1761.75;
1762.96;950.52
1765.3;709.48
1769.64;108.76
1775.81;1580.47
1776.08;
1777.8;820.78
1780.22;
1788.93;
1790.31;
1793.43;248.82
1807.45;778.69
1810;1610.90
1812.75;582.48
1817.13;
1833.17;
1842.92;1105.75
1862.82;
1873.97;863.95
1880.4;
1888.45;
1890.39;260.14
1894.19;598.76
1919.23;
1922.94;
1934.41;
1942.61;
1945.43;333.18
1957.87;
1958.34;
1972.01;
1977.36;1759.85
1978.64;
1989.3;
1992.93;762.63
1997.68;
1999.54;
2005.66;1203.40
2012.84;
2020.14;
2028.26;
2037.77;
2052.92;
2061.38;
2062.95;
2064.08;
2076.81;
2083.94;675.03
2086.07;
2091.47;388.92
