new_product_id;product_id;brand;product_line;product_class;product_size
1;0;Giant Bicycles;Standard;medium;medium
2;0;Giant Bicycles;Standard;medium;large
3;0;Norco Bicycles;Road;medium;medium
4;0;Norco Bicycles;Standard;low;medium
5;0;Norco Bicycles;Standard;medium;medium
6;0;OHM Cycles;Road;high;large
7;0;OHM Cycles;Standard;medium;medium
8;0;OHM Cycles;Standard;low;medium
9;0;OHM Cycles;Standard;high;medium
10;0;OHM Cycles;Road;medium;medium
11;0;Solex;Standard;medium;medium
12;0;Solex;Road;medium;medium
13;0;Solex;Standard;medium;large
14;0;Trek Bicycles;Standard;medium;medium
15;0;Trek Bicycles;Standard;high;medium
16;0;Trek Bicycles;Road;medium;medium
17;0;WeareA2B;Standard;medium;medium
18;0;WeareA2B;Standard;medium;small
19;1;Giant Bicycles;Standard;medium;medium
20;1;Giant Bicycles;Touring;medium;large
21;2;Giant Bicycles;Road;low;small
22;2;Solex;Standard;medium;medium
23;3;Trek Bicycles;Standard;medium;large
24;4;Giant Bicycles;Standard;high;medium
25;4;Solex;Standard;medium;medium
26;5;Giant Bicycles;Standard;high;medium
27;5;Trek Bicycles;Mountain;low;medium
28;6;OHM Cycles;Standard;high;medium
29;6;Solex;Standard;high;medium
30;7;Giant Bicycles;Standard;medium;small
31;7;Trek Bicycles;Road;low;medium
32;8;Solex;Road;medium;small
33;9;Norco Bicycles;Standard;medium;small
34;9;OHM Cycles;Road;medium;medium
35;10;Solex;Standard;medium;medium
36;10;WeareA2B;Touring;medium;medium
37;11;Giant Bicycles;Standard;high;medium
38;11;Trek Bicycles;Standard;medium;small
39;12;Giant Bicycles;Standard;medium;large
40;12;WeareA2B;Standard;medium;medium
41;13;Solex;Standard;medium;medium
42;14;Solex;Standard;high;large
43;14;Trek Bicycles;Standard;medium;small
44;15;Norco Bicycles;Standard;low;medium
45;15;WeareA2B;Standard;medium;medium
46;16;Norco Bicycles;Standard;high;small
47;17;Solex;Standard;high;medium
48;17;WeareA2B;Touring;medium;large
49;18;Norco Bicycles;Standard;high;medium
50;18;Solex;Standard;medium;medium
51;19;OHM Cycles;Road;high;large
52;19;Trek Bicycles;Mountain;low;medium
53;20;Trek Bicycles;Standard;medium;small
54;21;Solex;Standard;medium;large
55;21;WeareA2B;Touring;medium;medium
56;22;Solex;Standard;medium;medium
57;22;WeareA2B;Standard;medium;medium
58;23;Norco Bicycles;Mountain;low;small
59;23;Norco Bicycles;Standard;medium;medium
60;24;Solex;Road;medium;large
61;25;Giant Bicycles;Road;medium;medium
62;25;OHM Cycles;Standard;high;medium
63;26;WeareA2B;Standard;medium;medium
64;27;Trek Bicycles;Standard;medium;medium
65;27;Trek Bicycles;Standard;low;medium
66;28;Norco Bicycles;Standard;medium;small
67;28;Solex;Road;medium;small
68;29;Norco Bicycles;Road;medium;medium
69;29;WeareA2B;Standard;medium;medium
70;30;OHM Cycles;Standard;medium;medium
71;30;Solex;Standard;high;medium
72;31;Giant Bicycles;Standard;medium;medium
73;31;WeareA2B;Standard;medium;medium
74;32;Giant Bicycles;Standard;medium;medium
75;32;Giant Bicycles;Standard;high;medium
76;33;Giant Bicycles;Standard;medium;small
77;33;OHM Cycles;Road;medium;small
78;34;Norco Bicycles;Road;high;large
79;34;WeareA2B;Standard;medium;medium
80;35;Giant Bicycles;Standard;medium;medium
81;35;Trek Bicycles;Standard;low;medium
82;36;Solex;Standard;low;medium
83;37;OHM Cycles;Standard;low;medium
84;38;Solex;Standard;medium;medium
85;38;Trek Bicycles;Standard;medium;large
86;39;Giant Bicycles;Standard;medium;large
87;40;OHM Cycles;Standard;high;medium
88;40;Trek Bicycles;Road;medium;large
89;41;Norco Bicycles;Standard;low;medium
90;41;Solex;Road;medium;medium
91;42;OHM Cycles;Road;medium;small
92;43;Norco Bicycles;Standard;medium;medium
93;43;Solex;Standard;medium;medium
94;44;WeareA2B;Standard;medium;medium
95;45;Solex;Standard;medium;medium
96;45;Trek Bicycles;Road;low;medium
97;46;OHM Cycles;Standard;low;medium
98;46;Solex;Standard;low;medium
99;47;Trek Bicycles;Road;low;small
100;48;WeareA2B;Standard;medium;medium
101;49;Solex;Standard;medium;large
102;49;Trek Bicycles;Road;medium;medium
103;50;Giant Bicycles;Standard;medium;medium
104;50;WeareA2B;Standard;medium;small
105;51;OHM Cycles;Standard;high;medium
106;52;OHM Cycles;Road;medium;medium
107;52;Solex;Road;medium;large
108;53;Giant Bicycles;Standard;high;medium
109;53;OHM Cycles;Standard;medium;medium
110;54;WeareA2B;Standard;medium;medium
111;55;Trek Bicycles;Road;medium;large
112;56;Norco Bicycles;Mountain;low;small
113;56;OHM Cycles;Standard;medium;medium
114;57;WeareA2B;Touring;medium;large
115;58;OHM Cycles;Standard;medium;medium
116;58;OHM Cycles;Road;medium;medium
117;59;Solex;Standard;medium;large
118;59;WeareA2B;Standard;medium;small
119;60;Giant Bicycles;Standard;high;small
120;61;Norco Bicycles;Standard;medium;small
121;61;OHM Cycles;Standard;low;medium
122;62;Solex;Standard;medium;medium
123;62;Solex;Standard;high;medium
124;63;Solex;Standard;medium;medium
125;63;WeareA2B;Standard;medium;medium
126;64;Giant Bicycles;Standard;high;small
127;64;Trek Bicycles;Standard;medium;large
128;65;WeareA2B;Standard;medium;medium
129;66;Giant Bicycles;Road;low;small
130;66;Solex;Standard;medium;medium
131;67;Norco Bicycles;Road;medium;medium
132;67;Solex;Standard;medium;large
133;68;OHM Cycles;Standard;medium;medium
134;69;Giant Bicycles;Road;medium;medium
135;69;Norco Bicycles;Road;medium;large
136;70;Norco Bicycles;Road;medium;medium
137;70;Trek Bicycles;Standard;high;medium
138;71;Solex;Standard;high;large
139;72;Norco Bicycles;Standard;medium;medium
140;72;OHM Cycles;Standard;medium;medium
141;73;Solex;Standard;medium;medium
142;74;WeareA2B;Standard;medium;medium
143;75;Giant Bicycles;Touring;medium;large
144;76;WeareA2B;Standard;low;medium
145;76;WeareA2B;Road;low;small
146;77;Norco Bicycles;Road;medium;large
147;77;WeareA2B;Standard;medium;medium
148;78;Giant Bicycles;Standard;medium;large
149;79;Norco Bicycles;Standard;medium;medium
150;79;Solex;Touring;medium;large
151;80;OHM Cycles;Touring;low;medium
152;80;Trek Bicycles;Standard;medium;large
153;81;Norco Bicycles;Standard;medium;small
154;81;Solex;Standard;medium;medium
155;82;Giant Bicycles;Road;medium;medium
156;82;Norco Bicycles;Standard;high;medium
157;83;Solex;Touring;medium;large
158;84;Giant Bicycles;Road;medium;medium
159;84;Trek Bicycles;Road;medium;medium
160;85;WeareA2B;Standard;medium;medium
161;86;Norco Bicycles;Road;high;large
162;86;OHM Cycles;Standard;medium;medium
163;87;Giant Bicycles;Standard;high;medium
164;87;OHM Cycles;Standard;medium;medium
165;88;Norco Bicycles;Standard;medium;medium
166;88;Norco Bicycles;Standard;high;small
167;89;Giant Bicycles;Standard;medium;large
168;89;WeareA2B;Touring;medium;large
169;90;Norco Bicycles;Standard;low;medium
170;90;Solex;Standard;low;medium
171;91;Solex;Standard;medium;medium
172;91;WeareA2B;Standard;low;medium
173;92;WeareA2B;Standard;medium;small
174;92;WeareA2B;Touring;medium;large
175;93;OHM Cycles;Standard;high;medium
176;93;WeareA2B;Standard;medium;medium
177;94;Giant Bicycles;Standard;medium;large
178;95;Giant Bicycles;Standard;medium;large
179;95;OHM Cycles;Touring;low;medium
180;96;Giant Bicycles;Standard;medium;large
181;96;WeareA2B;Road;low;small
182;97;OHM Cycles;Road;medium;medium
183;97;Solex;Standard;medium;large
184;98;OHM Cycles;Standard;medium;medium
185;98;Trek Bicycles;Standard;high;medium
186;99;OHM Cycles;Standard;medium;medium
187;99;Trek Bicycles;Road;low;small
188;100;Norco Bicycles;Road;medium;medium
189;100;Trek Bicycles;Standard;medium;small
