iter	Passed	Remaining
0	15	1513
1	27	1345
2	40	1310
3	54	1308
4	68	1302
5	78	1226
6	91	1216
7	105	1209
8	120	1219
9	137	1240
10	152	1233
11	168	1234
12	184	1231
13	205	1263
14	239	1357
15	279	1469
16	303	1479
17	321	1463
18	347	1482
19	369	1476
20	386	1453
21	401	1424
22	416	1393
23	433	1373
24	451	1353
25	470	1337
26	493	1334
27	513	1321
28	531	1301
29	547	1278
30	564	1256
31	581	1235
32	597	1212
33	613	1190
34	630	1171
35	647	1150
36	663	1129
37	680	1110
38	723	1130
39	739	1109
40	757	1090
41	775	1071
42	791	1049
43	807	1028
44	824	1008
45	841	987
46	858	968
47	874	947
48	889	925
49	907	907
50	927	891
51	946	874
52	960	851
53	975	830
54	990	810
55	1006	791
56	1020	770
57	1035	750
58	1052	731
59	1069	713
60	1085	694
61	1105	677
62	1130	664
63	1151	647
64	1179	635
65	1200	618
66	1217	599
67	1237	582
68	1264	568
69	1284	550
70	1301	531
71	1325	515
72	1345	497
73	1364	479
74	1383	461
75	1400	442
76	1414	422
77	1429	403
78	1445	384
79	1462	365
80	1477	346
81	1494	328
82	1510	309
83	1528	291
84	1548	273
85	1563	254
86	1580	236
87	1599	218
88	1612	199
89	1626	180
90	1642	162
91	1657	144
92	1673	125
93	1690	107
94	1706	89
95	1728	72
96	1758	54
97	1784	36
98	1808	18
99	1828	0
