transaction_id;product_id;customer_id;transaction_date;online_order;order_status;brand;product_line;list_price
35;0;2171;20.08.2017;False;Approved;Norco Bicycles;Road;544.05
40;0;2448;28.11.2017;True;Approved;Norco Bicycles;Road;544.05
55;0;3140;18.09.2017;False;Approved;Norco Bicycles;Standard;363.01
61;0;1839;24.02.2017;False;Approved;OHM Cycles;Road;12.01
64;0;2000;08.07.2017;False;Approved;Trek Bicycles;Standard;499.53
83;0;3398;01.04.2017;True;Approved;OHM Cycles;Standard;235.63
89;0;2682;04.04.2017;True;Approved;OHM Cycles;Road;12.01
100;0;119;31.07.2017;False;Approved;Solex;Standard;478.16
111;0;3320;11.06.2017;True;Approved;OHM Cycles;Standard;71.16
120;0;678;16.06.2017;False;Approved;Trek Bicycles;Standard;495.72
137;0;431;23.09.2017;False;Approved;;;1942.61
160;0;3300;27.08.2017;False;Approved;;;1656.86
192;0;1614;15.07.2017;True;Approved;Giant Bicycles;Standard;230.91
201;0;3208;05.09.2017;True;Approved;Trek Bicycles;Road;533.51
272;0;2149;30.04.2017;True;Approved;Trek Bicycles;Standard;358.39
293;0;314;19.11.2017;False;Approved;OHM Cycles;Standard;227.88
367;0;1614;10.03.2017;False;Approved;;;850.89
376;0;1808;09.02.2017;False;Approved;Solex;Standard;478.16
400;0;552;24.07.2017;True;Approved;Solex;Standard;71.49
406;0;1595;17.04.2017;False;Approved;Trek Bicycles;Standard;358.39
407;0;2559;14.06.2017;True;Approved;;;710.59
447;0;820;23.06.2017;False;Approved;Solex;Standard;71.49
496;0;661;08.11.2017;False;Approved;Norco Bicycles;Standard;363.01
513;0;1052;29.11.2017;False;Approved;Trek Bicycles;Road;533.51
544;0;2734;19.05.2017;True;Approved;Giant Bicycles;Standard;230.91
551;0;3382;15.10.2017;True;Approved;OHM Cycles;Standard;227.88
558;0;3481;22.02.2017;False;Approved;Trek Bicycles;Standard;495.72
583;0;3053;16.04.2017;False;Approved;Trek Bicycles;Road;290.62
590;0;1141;16.02.2017;True;Approved;Giant Bicycles;Standard;569.56
600;0;964;24.06.2017;False;Approved;Norco Bicycles;Standard;363.01
605;0;3023;23.03.2017;False;Approved;OHM Cycles;Standard;227.88
624;0;1600;12.08.2017;False;Approved;Norco Bicycles;Road;543.39
643;0;3245;28.09.2017;False;Approved;OHM Cycles;Standard;71.16
659;0;2240;18.04.2017;True;Approved;WeareA2B;Standard;60.34
675;0;1817;05.07.2017;True;Approved;OHM Cycles;Standard;183.86
677;0;2609;02.07.2017;False;Approved;;;1972.01
694;0;294;15.06.2017;True;Approved;Solex;Road;416.98
704;0;1874;01.08.2017;False;Approved;Trek Bicycles;Road;533.51
714;0;2554;20.03.2017;True;Approved;Solex;Standard;100.35
720;0;1480;16.10.2017;True;Approved;Trek Bicycles;Standard;495.72
731;0;411;09.02.2017;False;Approved;Trek Bicycles;Road;533.51
742;0;2419;09.11.2017;False;Approved;Norco Bicycles;Road;543.39
781;0;897;10.05.2017;True;Approved;;;311.54
783;0;2453;07.08.2017;False;Approved;Giant Bicycles;Standard;569.56
786;0;666;14.04.2017;True;Approved;OHM Cycles;Standard;235.63
814;0;928;24.07.2017;False;Approved;Trek Bicycles;Road;290.62
842;0;294;06.09.2017;True;Approved;Trek Bicycles;Road;533.51
851;0;3086;12.12.2017;True;Approved;Norco Bicycles;Standard;360.4
856;0;2247;12.02.2017;False;Approved;Trek Bicycles;Standard;495.72
892;0;2384;23.07.2017;True;Approved;OHM Cycles;Standard;227.88
898;0;1710;03.04.2017;True;Approved;Norco Bicycles;Road;543.39
902;0;6;21.05.2017;False;Approved;Trek Bicycles;Standard;358.39
930;0;907;04.12.2017;False;Approved;WeareA2B;Standard;175.89
952;0;2972;15.01.2017;False;Approved;Trek Bicycles;Road;290.62
975;0;1904;23.08.2017;True;Approved;OHM Cycles;Standard;235.63
978;0;2210;11.11.2017;False;Approved;Norco Bicycles;Standard;363.01
1004;0;2254;16.05.2017;False;Cancelled;;;205.84
1035;0;667;07.01.2017;False;Approved;Solex;Standard;71.49
1065;0;1173;01.09.2017;True;Approved;OHM Cycles;Standard;227.88
1079;0;1470;28.04.2017;True;Approved;Giant Bicycles;Standard;569.56
1105;0;469;05.02.2017;True;Approved;OHM Cycles;Road;12.01
1122;0;1147;11.06.2017;False;Approved;Solex;Standard;71.49
1126;0;2597;25.12.2017;False;Approved;Solex;Road;416.98
1129;0;1611;27.09.2017;True;Approved;Norco Bicycles;Road;543.39
1130;0;230;23.10.2017;False;Approved;OHM Cycles;Standard;183.86
1131;0;2163;09.03.2017;False;Approved;;;605.54
1143;0;2912;02.05.2017;False;Approved;OHM Cycles;Road;12.01
1159;0;1237;11.11.2017;True;Approved;Solex;Standard;71.49
1172;0;2099;25.03.2017;False;Approved;Trek Bicycles;Road;290.62
1190;0;1405;05.11.2017;False;Approved;Solex;Standard;71.49
1197;0;2234;04.04.2017;False;Approved;;;756.31
1200;0;86;21.06.2017;True;Approved;OHM Cycles;Standard;71.16
1214;0;215;09.10.2017;False;Approved;OHM Cycles;Standard;183.86
1238;0;1640;27.02.2017;True;Approved;Giant Bicycles;Standard;230.91
1262;0;2679;06.10.2017;False;Approved;Solex;Standard;478.16
1272;0;1759;17.06.2017;False;Approved;Norco Bicycles;Road;544.05
1281;0;2500;19.02.2017;True;Approved;Solex;Standard;478.16
1283;0;397;09.08.2017;False;Approved;;;850
1296;0;3375;24.10.2017;True;Approved;OHM Cycles;Standard;227.88
1308;0;1908;16.08.2017;False;Approved;Trek Bicycles;Standard;358.39
1334;0;1304;18.01.2017;True;Approved;Solex;Standard;71.49
1403;0;2891;01.01.2017;True;Approved;OHM Cycles;Standard;183.86
1420;0;988;09.09.2017;False;Approved;OHM Cycles;Standard;235.63
1471;0;1647;18.05.2017;False;Approved;Trek Bicycles;Road;533.51
1492;0;1623;28.12.2017;False;Approved;OHM Cycles;Standard;183.86
1520;0;453;05.06.2017;True;Approved;Norco Bicycles;Standard;360.4
1521;0;2114;08.07.2017;True;Approved;Trek Bicycles;Road;290.62
1536;0;1290;16.11.2017;True;Approved;Giant Bicycles;Standard;569.56
1549;0;240;14.09.2017;False;Approved;OHM Cycles;Standard;183.86
1563;0;64;20.04.2017;True;Approved;OHM Cycles;Standard;227.88
1568;0;3081;17.03.2017;False;Approved;Giant Bicycles;Standard;230.91
1573;0;2027;29.09.2017;True;Approved;OHM Cycles;Road;12.01
1575;0;2347;29.07.2017;True;Approved;Norco Bicycles;Standard;360.4
1576;0;2420;05.05.2017;True;Approved;Solex;Road;416.98
1584;0;656;20.10.2017;True;Approved;Giant Bicycles;Standard;569.56
1622;0;736;07.09.2017;;Approved;WeareA2B;Standard;175.89
1636;0;966;17.12.2017;False;Approved;Norco Bicycles;Road;543.39
1654;0;1972;05.10.2017;False;Approved;;;571.27
1665;0;1024;08.07.2017;True;Approved;Norco Bicycles;Road;543.39
1671;0;3020;22.10.2017;True;Approved;Trek Bicycles;Road;533.51
1681;0;2733;18.05.2017;False;Approved;;;294.35
1691;0;3119;15.09.2017;False;Approved;OHM Cycles;Standard;71.16
1698;0;1707;13.10.2017;True;Approved;Norco Bicycles;Road;543.39
1733;0;1879;13.11.2017;True;Approved;Solex;Standard;202.62
1748;0;258;19.04.2017;False;Approved;WeareA2B;Standard;175.89
1753;0;925;25.07.2017;False;Approved;;;149.3
1766;0;3483;04.09.2017;False;Approved;Solex;Road;416.98
1772;0;3112;29.01.2017;False;Approved;OHM Cycles;Standard;235.63
1779;0;2153;23.03.2017;False;Approved;;;447.25
1794;0;993;10.04.2017;False;Approved;Norco Bicycles;Road;543.39
1809;0;2559;02.11.2017;True;Approved;WeareA2B;Standard;175.89
1812;0;2413;18.10.2017;False;Approved;Norco Bicycles;Standard;363.01
1822;0;1907;11.09.2017;False;Approved;Norco Bicycles;Standard;363.01
1864;0;501;24.04.2017;False;Approved;Trek Bicycles;Standard;495.72
1865;0;2307;09.07.2017;True;Approved;Norco Bicycles;Road;544.05
1876;0;1674;26.03.2017;False;Approved;Trek Bicycles;Road;290.62
1878;0;993;17.12.2017;False;Approved;Solex;Standard;202.62
1910;0;1662;16.07.2017;False;Approved;Trek Bicycles;Road;290.62
1911;0;1109;01.04.2017;True;Approved;Norco Bicycles;Road;543.39
1927;0;676;01.07.2017;True;Approved;Solex;Road;416.98
1929;0;2790;12.02.2017;True;Approved;OHM Cycles;Standard;183.86
1943;0;414;17.07.2017;True;Approved;Solex;Road;416.98
1977;0;2965;19.04.2017;False;Approved;Trek Bicycles;Road;533.51
2039;0;2951;18.09.2017;False;Approved;OHM Cycles;Standard;183.86
2044;0;3265;03.10.2017;True;Approved;Giant Bicycles;Standard;230.91
2056;0;2285;11.04.2017;False;Approved;Norco Bicycles;Standard;360.4
2067;0;804;27.06.2017;True;Approved;Norco Bicycles;Standard;360.4
2123;0;945;28.06.2017;True;Approved;Trek Bicycles;Standard;499.53
2130;0;260;19.11.2017;False;Approved;Trek Bicycles;Road;290.62
2163;0;260;03.10.2017;True;Approved;Giant Bicycles;Standard;230.91
2166;0;1528;30.03.2017;True;Approved;Solex;Standard;478.16
2167;0;2575;18.03.2017;False;Approved;Solex;Standard;441.49
2185;0;3013;21.08.2017;False;Approved;Trek Bicycles;Road;290.62
2186;0;2955;11.12.2017;True;Approved;Solex;Standard;100.35
2187;0;1568;14.03.2017;True;Approved;;;1348.41
2199;0;936;11.02.2017;True;Approved;OHM Cycles;Standard;183.86
2233;0;2073;23.02.2017;False;Approved;Giant Bicycles;Standard;230.91
2239;0;3326;30.04.2017;True;Approved;WeareA2B;Standard;60.34
2248;0;296;22.12.2017;False;Approved;Norco Bicycles;Standard;363.01
2253;0;2443;18.12.2017;False;Approved;Solex;Standard;100.35
2271;0;1674;12.11.2017;True;Approved;Giant Bicycles;Standard;569.56
2303;0;2465;22.04.2017;False;Approved;;;1021.43
2312;0;3325;15.11.2017;True;Approved;Norco Bicycles;Road;543.39
2314;0;3250;29.07.2017;False;Approved;OHM Cycles;Standard;71.16
2344;0;598;30.07.2017;False;Approved;OHM Cycles;Standard;71.16
2373;0;1729;26.04.2017;False;Approved;Norco Bicycles;Standard;360.4
2374;0;3265;01.05.2017;True;Approved;Norco Bicycles;Standard;360.4
2376;0;758;10.04.2017;True;Approved;Norco Bicycles;Standard;360.4
2388;0;1742;16.04.2017;True;Approved;Norco Bicycles;Standard;360.4
2401;0;86;30.07.2017;True;Approved;Norco Bicycles;Standard;360.4
2431;0;1916;19.04.2017;False;Approved;Solex;Standard;71.49
2478;0;676;27.07.2017;True;Approved;Norco Bicycles;Road;544.05
2483;0;385;13.09.2017;False;Approved;Trek Bicycles;Standard;499.53
2496;0;3490;18.03.2017;False;Approved;OHM Cycles;Standard;227.88
2505;0;858;20.02.2017;False;Approved;Solex;Standard;441.49
2513;0;289;11.11.2017;False;Approved;OHM Cycles;Standard;183.86
2524;0;2089;28.02.2017;True;Approved;Solex;Road;416.98
2526;0;1922;03.02.2017;False;Approved;Trek Bicycles;Road;533.51
2561;0;1942;14.04.2017;True;Approved;OHM Cycles;Road;12.01
2590;0;2981;09.04.2017;False;Approved;Solex;Standard;71.49
2595;0;2505;12.12.2017;False;Approved;Trek Bicycles;Standard;499.53
2606;0;1323;18.04.2017;False;Approved;Norco Bicycles;Standard;360.4
2607;0;1912;28.10.2017;False;Approved;OHM Cycles;Road;12.01
2639;0;602;17.05.2017;True;Approved;Solex;Standard;100.35
2676;0;336;09.10.2017;False;Approved;Giant Bicycles;Standard;230.91
2682;0;2068;24.07.2017;False;Approved;Trek Bicycles;Standard;499.53
2718;0;958;18.04.2017;True;Approved;Norco Bicycles;Standard;360.4
2733;0;963;13.09.2017;False;Approved;OHM Cycles;Standard;227.88
2734;0;1432;27.11.2017;True;Approved;Giant Bicycles;Standard;230.91
2743;0;1107;12.11.2017;False;Approved;Trek Bicycles;Standard;495.72
2758;0;1810;24.12.2017;True;Approved;Trek Bicycles;Standard;358.39
2767;0;1307;19.08.2017;True;Approved;WeareA2B;Standard;60.34
2773;0;1136;08.05.2017;;Approved;Giant Bicycles;Standard;230.91
2802;0;501;31.05.2017;True;Approved;Solex;Standard;441.49
2815;0;2697;28.08.2017;True;Approved;Norco Bicycles;Standard;363.01
2821;0;2307;22.08.2017;False;Approved;OHM Cycles;Standard;235.63
2824;0;306;29.08.2017;False;Approved;Giant Bicycles;Standard;569.56
2846;0;2358;16.11.2017;True;Approved;Solex;Road;416.98
2875;0;2012;09.06.2017;False;Approved;OHM Cycles;Standard;183.86
2887;0;2770;12.08.2017;False;Approved;Norco Bicycles;Road;543.39
2925;0;1480;16.11.2017;True;Approved;Solex;Standard;478.16
2935;0;1910;06.09.2017;True;Approved;OHM Cycles;Standard;71.16
2940;0;395;02.04.2017;True;Approved;Trek Bicycles;Road;533.51
2943;0;820;06.01.2017;False;Approved;OHM Cycles;Standard;71.16
2945;0;3465;19.10.2017;False;Approved;OHM Cycles;Standard;227.88
2948;0;3212;14.09.2017;False;Approved;;;1163.77
2953;0;1410;31.10.2017;True;Approved;Norco Bicycles;Road;543.39
2957;0;1912;22.11.2017;False;Approved;OHM Cycles;Road;12.01
2967;0;308;18.05.2017;True;Approved;OHM Cycles;Standard;235.63
2984;0;3042;20.02.2017;False;Approved;Giant Bicycles;Standard;230.91
2987;0;1136;13.01.2017;True;Approved;WeareA2B;Standard;175.89
2991;0;812;10.04.2017;True;Approved;;;1294.66
3014;0;3148;05.11.2017;True;Approved;Giant Bicycles;Standard;230.91
3020;0;1525;06.12.2017;False;Approved;OHM Cycles;Standard;235.63
3031;0;548;14.09.2017;False;Approved;Giant Bicycles;Standard;230.91
3085;0;3042;11.03.2017;False;Approved;Trek Bicycles;Road;533.51
3096;0;3252;22.05.2017;True;Approved;Norco Bicycles;Road;544.05
3099;0;3313;18.05.2017;True;Approved;OHM Cycles;Standard;227.88
3104;0;1833;20.12.2017;True;Approved;Norco Bicycles;Standard;363.01
3117;0;2494;18.02.2017;True;Approved;Norco Bicycles;Road;544.05
3170;0;263;05.11.2017;False;Approved;Norco Bicycles;Standard;363.01
3195;0;1902;09.12.2017;False;Approved;;;638.29
3196;0;1470;27.11.2017;False;Approved;Norco Bicycles;Standard;363.01
3200;0;247;21.01.2017;True;Approved;WeareA2B;Standard;175.89
3221;0;2058;19.03.2017;False;Approved;Norco Bicycles;Standard;363.01
3260;0;3168;24.02.2017;True;Approved;;;1202.34
3273;0;1731;25.10.2017;True;Approved;Trek Bicycles;Standard;499.53
3304;0;2621;01.11.2017;True;Approved;Solex;Standard;202.62
3323;0;3418;10.09.2017;False;Approved;OHM Cycles;Standard;71.16
3339;0;2189;04.06.2017;False;Approved;OHM Cycles;Road;12.01
3356;0;2459;26.07.2017;False;Approved;OHM Cycles;Standard;235.63
3370;0;1798;17.12.2017;True;Approved;WeareA2B;Standard;60.34
3409;0;52;11.03.2017;True;Approved;;;326.86
3421;0;2553;17.03.2017;True;Approved;WeareA2B;Standard;60.34
3443;0;1640;27.01.2017;True;Approved;WeareA2B;Standard;60.34
3447;0;2603;24.02.2017;True;Approved;Giant Bicycles;Standard;230.91
3472;0;412;03.12.2017;False;Approved;Norco Bicycles;Road;543.39
3493;0;2281;04.02.2017;False;Approved;OHM Cycles;Standard;235.63
3536;0;1691;28.12.2017;True;Approved;Solex;Standard;441.49
3556;0;2468;09.12.2017;False;Approved;Norco Bicycles;Road;544.05
3560;0;1449;08.04.2017;True;Approved;Giant Bicycles;Standard;230.91
3590;0;1788;01.12.2017;True;Approved;Norco Bicycles;Standard;360.4
3607;0;1614;22.07.2017;True;Approved;OHM Cycles;Road;12.01
3610;0;758;03.12.2017;False;Approved;Trek Bicycles;Road;290.62
3624;0;1074;07.02.2017;False;Approved;Trek Bicycles;Standard;358.39
3628;0;1719;25.11.2017;False;Approved;Trek Bicycles;Standard;499.53
3649;0;964;25.02.2017;True;Approved;OHM Cycles;Standard;71.16
3650;0;1165;13.10.2017;False;Approved;OHM Cycles;Standard;183.86
3678;0;124;09.10.2017;False;Approved;Norco Bicycles;Road;544.05
3726;0;3038;04.07.2017;True;Approved;Solex;Standard;202.62
3727;0;1148;22.12.2017;False;Approved;Solex;Standard;202.62
3734;0;645;05.09.2017;True;Approved;Norco Bicycles;Standard;360.4
3737;0;3126;22.05.2017;True;Cancelled;Norco Bicycles;Road;543.39
3764;0;1343;17.07.2017;False;Approved;Norco Bicycles;Road;543.39
3774;0;629;25.02.2017;False;Approved;Trek Bicycles;Standard;499.53
3782;0;1503;26.11.2017;True;Approved;;;814.86
3785;0;988;12.05.2017;False;Approved;Trek Bicycles;Road;533.51
3837;0;2059;13.07.2017;True;Approved;Solex;Standard;100.35
3839;0;3271;07.02.2017;False;Approved;WeareA2B;Standard;60.34
3849;0;2204;15.05.2017;True;Approved;Solex;Standard;71.49
3851;0;2224;12.02.2017;False;Approved;Trek Bicycles;Standard;495.72
3878;0;696;30.07.2017;False;Approved;;;1102.68
3905;0;3323;11.03.2017;;Approved;Solex;Road;416.98
3909;0;3239;19.06.2017;False;Approved;Norco Bicycles;Standard;363.01
3927;0;2968;27.06.2017;True;Approved;WeareA2B;Standard;175.89
3930;0;3415;30.10.2017;;Approved;Trek Bicycles;Road;290.62
3941;0;1930;02.07.2017;True;Approved;Norco Bicycles;Standard;360.4
3975;0;2720;25.04.2017;False;Approved;Trek Bicycles;Standard;499.53
4004;0;485;19.08.2017;True;Approved;Solex;Road;416.98
4013;0;6;16.09.2017;False;Approved;Giant Bicycles;Standard;230.91
4025;0;3264;05.05.2017;True;Approved;;;1880.4
4041;0;2125;17.12.2017;True;Approved;OHM Cycles;Standard;71.16
4074;0;1841;09.04.2017;False;Approved;;;1541.62
4082;0;637;12.01.2017;True;Approved;WeareA2B;Standard;60.34
4091;0;1877;18.01.2017;True;Approved;Norco Bicycles;Standard;360.4
4092;0;137;03.12.2017;False;Approved;WeareA2B;Standard;60.34
4128;0;3242;04.01.2017;True;Approved;;;639.38
4145;0;1519;15.05.2017;False;Approved;Trek Bicycles;Road;290.62
4153;0;428;06.08.2017;False;Approved;OHM Cycles;Road;12.01
4164;0;625;14.12.2017;True;Approved;Giant Bicycles;Standard;569.56
4182;0;2247;18.06.2017;True;Approved;Solex;Standard;71.49
4207;0;1678;13.05.2017;False;Approved;OHM Cycles;Standard;183.86
4218;0;1509;10.01.2017;True;Approved;Solex;Road;416.98
4223;0;2479;05.05.2017;True;Approved;;;402.14
4225;0;2405;02.05.2017;False;Approved;;;710.55
4228;0;3464;04.06.2017;False;Approved;;;1142.89
4270;0;1144;13.10.2017;True;Approved;Trek Bicycles;Standard;495.72
4285;0;1144;13.12.2017;True;Approved;OHM Cycles;Standard;183.86
4292;0;767;30.08.2017;False;Approved;OHM Cycles;Standard;183.86
4318;0;1401;18.05.2017;False;Approved;Norco Bicycles;Standard;363.01
4323;0;894;12.08.2017;False;Approved;WeareA2B;Standard;175.89
4339;0;1741;12.04.2017;False;Approved;;;813.6
4343;0;1786;06.07.2017;False;Approved;Trek Bicycles;Road;533.51
4346;0;714;29.07.2017;True;Approved;OHM Cycles;Standard;235.63
4350;0;946;25.04.2017;False;Approved;Norco Bicycles;Standard;360.4
